StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,age_1,footwear,footwear_DO_1,footwear_DO_2,footwear_DO_3,footwear_DO_4,footwear_DO_5,rsvp,rsvp_DO_1,rsvp_DO_2,rsvp_DO_3,rsvp_DO_4,rsvp_DO_5,elevator,elevator_DO_1,elevator_DO_2,elevator_DO_3,elevator_DO_4,elevator_DO_5,consent,today,2005,check,middle_today,replacements,middle_past,replaced,age,gender,race,income,check_3,check_3_4_TEXT,education,kids,political_ideology,oldest_kid,comments
3/18/20 12:31,3/18/20 12:31,IP Address,100,6,TRUE,3/18/20 12:31,R_3fOTRG9O3W7fnVd,,,,,40.89680481,-80.8615036,anonymous,EN,65+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/20 12:31,3/18/20 12:31,IP Address,100,5,TRUE,3/18/20 12:31,R_AbSaT1QMbuDuUtb,,,,,39.87980652,-83.08830261,anonymous,EN,19 or younger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/20 12:31,3/18/20 12:32,IP Address,100,26,TRUE,3/18/20 12:32,R_1kMjOL4QCHBNeqp,,,,,38.97050476,-76.83879852,anonymous,EN,20-34,Flip-flops,4,1,3,5,2,A wedding invitation,4,5,1,2,3,An elevator,5,4,3,2,1,,,,,,,,,,,,,,,,,,,
3/18/20 12:32,3/18/20 12:32,IP Address,100,6,TRUE,3/18/20 12:32,R_e5sg9J4uueDMD4J,,,,,36.7322998,-76.03630066,anonymous,EN,65+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/20 12:31,3/18/20 12:32,IP Address,100,27,TRUE,3/18/20 12:32,R_prPNdeR4HFQogBr,,,,,43.5861969,-116.5872955,anonymous,EN,20-34,Bell bottoms,3,5,2,1,4,A diary,4,3,5,2,1,An elevator,1,2,3,4,5,,,,,,,,,,,,,,,,,,,
3/18/20 12:32,3/18/20 12:32,IP Address,100,2,TRUE,3/18/20 12:32,R_2abfBa9lQ8UVmml,,,,,28.87229919,-82.34539795,anonymous,EN,65+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/20 12:32,3/18/20 12:32,IP Address,100,5,TRUE,3/18/20 12:32,R_ZC5wShH0nfPMI4V,,,,,33.77400208,-111.9116974,anonymous,EN,65+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/20 12:32,3/18/20 12:32,IP Address,100,3,TRUE,3/18/20 12:32,R_exSauii9HiUk4et,,,,,43.73399353,-70.26249695,anonymous,EN,19 or younger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/20 12:32,3/18/20 12:32,IP Address,100,6,TRUE,3/18/20 12:32,R_3ly0Dw4upBBb4FF,,,,,39.55020142,-119.7207031,anonymous,EN,65+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/20 12:32,3/18/20 12:32,IP Address,100,20,TRUE,3/18/20 12:32,R_1eOxAL2hRO5FyNb,,,,,40.11360168,-74.93959808,anonymous,EN,50-64,Flip-flops,5,1,2,4,3,A wedding invitation,2,5,1,4,3,An umbrella,1,5,3,4,2,,,,,,,,,,,,,,,,,,,
3/18/20 12:32,3/18/20 12:32,IP Address,100,5,TRUE,3/18/20 12:32,R_1FlCA8wDxZshVPW,,,,,39.10009766,-94.57820129,anonymous,EN,65+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/20 12:32,3/18/20 12:32,IP Address,100,12,TRUE,3/18/20 12:32,R_2Eb3udUqkQeoao6,,,,,26.61129761,-80.17430115,anonymous,EN,65+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/20 12:31,3/18/20 12:32,IP Address,100,78,TRUE,3/18/20 12:32,R_Wr55lbiQsa5JUVr,,,,,34.78379822,-96.69380188,anonymous,EN,35-49,Bell bottoms,4,3,2,5,1,A wedding invitation,4,2,5,1,3,An elevator,4,1,5,3,2,I consent to take part in this study,6,7,"People are LESS kind, honest, nice, and good today compared to about 15 years ago",7,6,4,7,43,Male,White,"$95,000 - $150,000",Other,cloud,Four-year college degree,2,Somewhat conservative,2003,
3/18/20 12:31,3/18/20 12:32,IP Address,100,54,TRUE,3/18/20 12:32,R_3EuOS5OmfRR9Exz,,,,,40.2749939,-76.80390167,anonymous,EN,20-34,Bell bottoms,5,2,1,4,3,A restaurant bill,2,5,4,1,3,An elevator,5,1,4,3,2,,,,,,,,,,,,,,,,,,,
3/18/20 12:32,3/18/20 12:32,IP Address,100,50,TRUE,3/18/20 12:32,R_dh9UrX6UNtwAuit,,,,,37.75100708,-97.8219986,anonymous,EN,20-34,Sneakers,2,1,5,3,4,A diploma,2,4,3,5,1,An elevator,3,4,2,5,1,,,,,,,,,,,,,,,,,,,
3/18/20 12:31,3/18/20 12:33,IP Address,100,90,TRUE,3/18/20 12:33,R_245EUPzJXmoHw5f,,,,,40.75840759,-73.79730225,anonymous,EN,35-49,Bell bottoms,1,4,5,2,3,A wedding invitation,4,5,2,3,1,An elevator,3,2,4,5,1,I consent to take part in this study,4,4,"People are equally kind, honest, nice, and good today compared to about 15 years ago",4,3,4,5,37,Male,Hispanic or Latino Origin,"$55,000 - $75,000",Introverted,,Four-year college degree,0,Very liberal,,
3/18/20 12:31,3/18/20 12:33,IP Address,100,85,TRUE,3/18/20 12:33,R_9pM4ugERh869Ufn,,,,,38.7243042,-89.8707962,anonymous,EN,35-49,Bell bottoms,1,2,5,3,4,A wedding invitation,2,3,4,1,5,An elevator,1,3,2,4,5,I consent to take part in this study,5,5,"People are equally kind, honest, nice, and good today compared to about 15 years ago",5,5,5,5,37,Female,White,"$55,000 - $75,000",Other,cloud,Four-year college degree,1,Very liberal,2012,
3/18/20 12:31,3/18/20 12:33,IP Address,100,86,TRUE,3/18/20 12:33,R_3r4azzhZFitUNxv,,,,,33.14520264,-97.06990051,anonymous,EN,20-34,Bell bottoms,4,1,2,5,3,A wedding invitation,1,3,2,5,4,An elevator,2,1,3,4,5,I consent to take part in this study,4,4,"People are equally kind, honest, nice, and good today compared to about 15 years ago",4,3,3,3,31,Male,White,"$35,000 - $55,000",Other,cloud,Graduate school,0,Very liberal,,
3/18/20 12:33,3/18/20 12:33,IP Address,100,5,TRUE,3/18/20 12:33,R_rp5FWristhpMDvz,,,,,37.69760132,-121.0368958,anonymous,EN,65+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/20 12:31,3/18/20 12:33,IP Address,100,109,TRUE,3/18/20 12:33,R_1kGGvMLRBIRPGOk,,,,,28.23199463,-82.73239899,anonymous,EN,35-49,Bell bottoms,5,1,2,3,4,A wedding invitation,2,1,3,4,5,An elevator,4,5,1,3,2,I consent to take part in this study,6,5,"People are MORE kind, honest, nice, and good today compared to about 15 years ago",6,5,5,5,46,Male,White,"$35,000 - $55,000",Other,cloud,Four-year college degree,4+,Somewhat conservative,1999,NONE
3/18/20 12:31,3/18/20 12:33,IP Address,100,100,TRUE,3/18/20 12:33,R_2qjvVAEkknkGMPO,,,,,28.65289307,-81.21060181,anonymous,EN,20-34,Bell bottoms,5,3,1,2,4,A wedding invitation,1,2,3,5,4,An elevator,5,4,3,2,1,I consent to take part in this study,4,4,"People are equally kind, honest, nice, and good today compared to about 15 years ago",4,4,4,6,26,Male,White,"$15,000 - $35,000",Other,cloud,Four-year college degree,0,Very liberal,,
3/18/20 12:31,3/18/20 12:33,IP Address,100,115,TRUE,3/18/20 12:33,R_1pyhBC0s1prHtTL,,,,,40.78089905,-73.95020294,anonymous,EN,20-34,Bell bottoms,1,5,2,4,3,A wedding invitation,1,4,2,3,5,An elevator,2,5,4,1,3,I consent to take part in this study,3,4,"People are LESS kind, honest, nice, and good today compared to about 15 years ago",4,2,4,6,33,Male,White,"$75,000 - $95,000",Other,cloud,Four-year college degree,1,Somewhat conservative,2015,
3/18/20 12:31,3/18/20 12:33,IP Address,100,82,TRUE,3/18/20 12:33,R_30oAtyKl44v0h0V,,,,,42.05499268,-87.69509888,anonymous,EN,20-34,Bell bottoms,5,4,1,2,3,A wedding invitation,5,4,1,2,3,An elevator,2,1,5,4,3,I consent to take part in this study,5,6,"People are LESS kind, honest, nice, and good today compared to about 15 years ago",5,4,7,6,22,Female,Hispanic or Latino Origin,"$150,000 - $200,000",Other,cloud,Four-year college degree,0,Neither liberal nor conservative,,
3/18/20 12:32,3/18/20 12:33,IP Address,100,82,TRUE,3/18/20 12:33,R_1OAzT00XYZtAyju,,,,,39.10270691,-94.59249878,anonymous,EN,35-49,Bell bottoms,4,1,3,2,5,A wedding invitation,3,4,5,2,1,An elevator,3,2,4,5,1,I consent to take part in this study,6,6,"People are equally kind, honest, nice, and good today compared to about 15 years ago",6,6,6,6,40,Female,White,"$35,000 - $55,000",Other,cloud,Four-year college degree,0,Somewhat liberal,,
